25.3/30.8,,,,,,,,Stage1,Stage1,Stage1,Stage2,Stage2,Stage2,Stage2,Stage2,,Stage2,,Stage2,Stage2,Stage2,Stage2,Stage3,Stage3,Stage3,Stage3,Stage3,Stage3,Stage3,Stage3,Stage3,Stage3,Stage3,Stage3,Stage3,Stage3,Stage3,Stage3,Stage3,Stage3,Stage3,Stage3,Stage3,Stage3,Stage3,Stage3,Stage3,Stage3,Stage3,Stage3,Stage3,Stage3,Stage3,Stage3,Stage3,Stage3,Stage3,Stage3,Stage3,Stage3,Stage3,Stage3,Stage3,Stage3,Stage3,Stage3,Stage3,Stage3,Stage3,Stage3,Stage3,Stage3,Stage3,Stage3,Stage3,Stage3,Stage3,Stage3,Stage3,Stage3,Stage3,Stage3,Stage3,Stage3,Stage3,Stage3,Stage3,Stage3,Stage3
Date,2021/02/12,2021/02/13,2021/02/14,2021/02/15,2021/02/16,2021/02/17,,2021/02/19,2021/02/20,2021/02/21,2021/02/22,2021/02/23,2021/02/24,2021/02/25,2021/02/26,2021/02/27,2021/02/28,2021/03/01,2021/03/02,2021/03/03,2021/03/04,2021/03/05,2021/03/06,2021/03/07,2021/03/08,2021/03/09,2021/03/10,2021/03/11,2021/03/12,2021/03/13,2021/03/14,2021/03/15,2021/03/16,2021/03/17,2021/03/18,3/19/2021,3/20/2021,3/21/2021,3/22/2021,3/23/2021,3/24/2021,3/25/2021,3/26/2021,3/27/2021,3/28/2021,3/29/2021,3/30/2021,3/31/2021,4/1/2021,4/2/2021,4/3/2021,4/4/2021,4/5/2021,4/6/2021,4/7/2021,4/8/2021,4/9/2021,4/10/2021,4/11/2021,4/12/2021,4/13/2021,4/14/2021,4/15/2021,4/16/2021,4/17/2021,4/18/2021,4/19/2021,4/20/2021,4/21/2021,4/22/2021,4/23/2021,4/24/2021,4/25/2021,4/26/2021,4/27/2021,4/28/2021,4/29/2021,4/30/2021,5/1/2021,5/2/2021,5/3/2021,5/4/2021,5/5/2021,5/6/2021,5/7/2021,5/8/2021,5/9/2021,5/10/2021,5/11/2021
Time Started,,,,,,,,3:40 PM,6:45 PM,3:35 PM,6:55 PM,7:45 PM,5:25 PM,5:00 PM,7:25 PM,,7:00 PM,,9:00 PM,4:35 PM,4:55 PM,7:00 PM,8:10 PM,9:20 PM,5:35 PM,4:05 PM,14:55,3:40 PM,5:50 PM,5:50 PM,6:15 PM,4:00 PM,6:15 PM,5:05 PM,6:45 PM,7:25 PM,7:24 PM,7:00 PM,7:15 PM,5:25 PM,6:50 PM,18:40,6:35 PM,7:20 PM,5:25 PM,6:50 PM,6:25 PM,6:40 PM,5:45 PM,7:00 PM,8:15 PM,6:50 PM,7:20 PM,6:45 PM,5:55 PM,7:00 PM,7:15 PM,7:15 PM,6:55 PM,6:40 PM,7:35 PM,5:05 PM,5:50 PM,6:10 PM,6:00 PM,7:45 PM,19:40,6:25 PM,6:15 PM,5:25 PM,5:25 PM,5:40 PM,6:45 PM,8:15 PM,7:25 PM,5:55 PM,5:35 PM,6:05 PM,7:40 PM,7:15 PM,2:00 PM,2:30 PM,4:20 PM,3:40 PM,5:40 PM,6:30 PM,5:10 PM,7:15 PM,7:30 PM
Time Ended,,,,,,,,3:45 PM,7:00 PM,3:40 PM,7:15 PM,2:15 AM,5:55 PM,5:35 PM,8:05 PM,,5:50 PM,,9:45 PM,3:25 PM,6:20 PM,7:40 PM,9:10 PM,10:00 PM,6:05 PM,4:45 PM,3:55 PM,4:38 PM,18:45,7:00 PM,7:05 PM,4:50 PM,7:20 PM,5:55 PM,1:33 AM,8:20 PM,8:25 PM,7:45 PM,8:17 PM,6:45 PM,8:05 PM,7:30 PM,7:45 PM,8:20 PM,6:35 PM,7:55 PM,7:26 PM,7:25 PM,6:45 PM,8:10 PM,9:10 PM,7:35 PM,8:00 PM,7:35 PM,6:49 PM,7:50 PM,8:05 PM,8:00 PM,7:43 PM,7:25 PM,8:30 PM,5:55 PM,6:40 PM,6:44 PM,6:50 PM,8:30 PM,8:20 PM,7:20 PM,7:05 PM,6:15 PM,6:15 PM,6:40 PM,7:35 PM,9:10 PM,8:05 PM,6:35 PM,,6:55 PM,8:45 PM,8:05 PM,6:40 PM,3:25 PM,5:20 PM,4:30 PM,6:30 PM,7:35 PM,7:55 PM,8:10 PM,9:00 PM
Start contingency,,,,,,,,0/100,100/0,0/100,90/10,10/90,90/10,90/10,10/90,,90/10,,10/90,90/10,90/10,90/10,10/90,90/10,10/90,90/10,10/90,10/90,10/90,10/90,10/90,90/10,90/10,10/90,10/90,10/90,10/90,10/90,10/90,90/10,10/90,10/90,10/90,10/90,90/10,10/90,90/10,10/90,10/90,90/10,10/90,90/10,90/10,10/90,90/10,10/90,90/10,10/90,90/10,90/10,10/90,90/10,90/10,90/10,10/90,90/10,90/10,10/90,90/10,90/10,90/10,10/90,90/10,10/90,10/90,90/10,10/90,10/90,90/10,10/90,90/10,10/90,90/10,90/10,10/90,10/90,90/10,90/10,90/10
Num. of reward L/R ,,,,,,,,128/141,,140/146,47/43,,69/52,71/53,44/46,,69/51,,53/51,91/63,109/87,87/46,38/108,77/38,27/70,89/43,91/96,89/92,143/70,97/124,61/113,73/64,136/107,66/80,103/125,128/74,83/106,103/40,89/64,173/64,135/99,107/50,71/131,70/138,155/79,97/159,130/62,98/65,132/153,144/89,92/117,65/58,124/22,105/87,100/81,48/134,93/92,86/100,66/118,131/22,51/174,65/98,92/88,63/48,69/117,85/58,95/76,98/160,96/141,58/195,107/141,96/112,147/51,69/79,96/153,146/100,,74/104,124/146,77/147,67/104,69/171,86/120,158/74,122/115,95/162,91/72,81/146,154/67
No. of trials,,,,,,,,266,,,,,178,219,140,,216,,175,238,343,202,280,214,166,219,363,360,355,392,316,302,407,283,374,330,332,267,351,498,478,334,452,413,397,381,351,286,376,363,319,236,238,306,335,329,292,307,327,228,378,298,298,164,282,214,325,400,390,375,356,324,304,290,329,330,285,354,410,331,285,416,326,362,359,407,,381,308
No. nolick max,,,,,,,,,,,,,,3,3,,3,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Autopause,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,,TRUE,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
No-lick window,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,TRUE,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
rwdDelay,,,,,,,,,,,100,100,100,100,100,,100,,200,200,200,200,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300
 PersevAdd/Autopauses,,,,,,,,,,,,,,15/9,12/3,,21/8,,14/1,16/0,28/4,14/5,21/1,13/2,7/2,17/2,17/2,22/7,23/1,29/1,18/1,29/2,18/1,22/4,20/6,15/0,19/3,19/1,34/0,44/3,37/1,20/0,40/2,30/1,26/0,9/1,21/2,15/1,7/5,11/3,10/2,17/3,14/3,12/1,19/3,21/1,9/3,16/3,17/0,3/3,13/3,9/1,10/0 (5 after 295),,9/3,7/4,17/5,12/2,16/0,11/0,10/0,10/0,11/0,26/0,7/0,5/1,,22/0,9/0,12/0,16/1,18/0,14/0,8/0,13/0,7/1,,15/1,6/0
Coordinates,,,,,,,,410 175 388,410 175 388,410 175 388,509 175 388,509 175 388,722 175 388,722 175 388,950 175 388,,950 175 388,,950 500 388,950 350 224,950 350 224,1006 1050 421,848 1203 421,629 -142 -200,629 -142 -200,629 -300 -200,629 -300 -200,200 -300 -200,200 -300 -952,180 11 -952,180 11 -952,180 11 -952,500 11 -952,500 11 -952,500 11 -952,500 11 -952 ,750 11 -952 ,550 11 -952 ,550 11 0,750 0 0,550 0 -300,550 0 -300,500 0 -300,500 0 -300,650 0 -300,1351 0 -755 (too low),1551 0 -400,1800 0 -400,1650 0 -400,1650 0 -400,1650 0 -400,1850 0 -400,2220 0 -400,2220 0 -400,2220 0 -400,1950 0 -400,1950 0 -400,1950 0 -400,1950 0 -400,2050 0 -400,1750 0 -400,1950 0 -400,1950 0 -400,2100 0 -400,2100 0 -400,2100 0 -400,2100 0 -400,2100 0 -400,2100 0 -400,2100 0 -400,2100 0 -400,2250 0 -400,2250 0 -400,2250 0 -400,2250 250 -400,2250 250 -400,2250 250 -400,2250 250 -400,1850 250 -400,2000 250 -400,2000 250 -400,2000 250 -400,2150 250 -400,2250 250 -400,2250 250 -400,2250 250 -400,2250 250 -400,2350 250 -400,2450 250 -400
Reward size,,,,,,,,4,4,4,4,4,4,4,4,,4,,,,4,4,4,4,3,3,3,3,3,3,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
Behavior,,,,,,,,Switched well,Good.,,learned licking to both sides. and switch. right bias.,bad right bias. computer buged and restarted by itself.,slow switch to left,quits,bad right bias.,,Left bias,,left sensor buggy,left sensor buggy. got better with training.,took out in the middle for a while. right bias.,,left ITI lickig. right bias,left bias later. ,low moti later,left bias.,bad left bias.,,ITI in earlier on right. port too close,left bias. ITI on right a lot. Airpuffed on right,"right ITI earlier. left bias earlier, right bias later.",a bit right bias late in the session. (left port too far away),left bias. better,air puff ITI. left bias,"ITI a lot on right, air puffed. bad left bias. low moti on right. cannot lick right continously",primed  on right twice. Super good luck on left.,primed to right once. left bias good luck on left,bad left bias,left bias. slow switch,Good luck on left. primed to right on166. ,Primed to right on 94. manual rewards on right. no manual after 215.,Left bias.,"Left bias, moved port at 40.",,,Good.,Good,Good,,,,right bias. stopped early,left bias,,,,,,,low moti. ,good,good,good,low moti. bad behavior,better. good behavior,low moti,,,Good,Good. Good luck on right,,,Good.,Left bias,Good,Good,low moti. high weight,Good,Good,,left bias. low moti. too early. behavior ok,,,good. left bias,,,,,Good. lesion TT7
  Recording,,,,,,,,,MeV. very small LFP,TT8 IDed,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,TT4 NE?,TT5 CSC17,"CSC 14 17. IDed neuron. CSC 14 regular burst. less frequent later in session.  495 stopped recording. second recording started on trial 507. 200ms 3.0, 10ms_1 3.4; 10ms_2 3.2",TT4 TT5 TT8 neuron. 10ms 3.5; 20ms 3.2,"TT 458. 10ms, 20ms power 3.4. 200ms power 3.0",TT458. 20ms 3.4; 200 3.2,TT58 good iso. maybe same neuron? 20ms 3.4; 200ms 3.0,20ms 3.6; 200s 3.2. no unit,no unit. 20ms 3.6; 200s 3.2.,no IDed units. pupil dilates. 200ms 3.6; 20ms 3.8,TT7. 20ms 3.8; 200ms 3.6; 20ms_2 4.0,TT1 TT7. 20ms_2 3.8; 200ms 3.2; 20ms 4.0,TT1 TT2; 20ms 3.6; 200ms 3.4,"TT1, 20ms 3.6; 200ms 3.2",TT167,TT167; 20ms 3.4; 200ms 3.2,20ms_1 3.8; 20ms_2 3.5;,TT125; 20ms_1 3.8; 20ms_2 3.5;,TT1256; 20ms_1 3.8; 20ms_2 3.5; 20ms_3 4.0X5; 4.2X5,TT1256; 20ms_1 3.8; 20ms_2 3.5;, 20ms_1 3.2; 20ms_2 3.5;,20ms_1 3.7; TT16,TT17 20ms_1 3.5; 20ms_2 3.8;,20m_1 3.8 TT1.shouldn't have advanced.,TT1 20ms_1  3.3; 20ms_2 3.8;,TT1 20ms_1 3.8; 20ms_2 4.0,TT17 20ms_1 3.8 (10ms); 20ms_2 4.0,TT17 lower laser for 7. 20ms_1 3.8; 20ms_2 3.5,TT17. 20ms_1 3.6;10ms 3.8;,TT17. 20ms 3.6;10ms 3.8;,TT17. 20ms 3.7;10ms 3.9; lower power for TT7. TT7 small,"TT1, 10ms 3.7;",TT17; 10 3.7; 20ms 3.5,TT1; 20ms 3.7;  10ms 3.8; 920ms 10ms flipped),TT1; 20ms 3.5;  10ms 3.8,,TT6. 10ms 3.7; 20ms 3.5,TT6. 10ms 3.4; 20ms 3.2,TT6. 10ms 3.5; 10ms_1 3.3,TT6 2 units. 10ms 3.5 10ms_2 3.7;,TT6. 10ms 3.5 10ms_1 3.7;,TT6. 20ms 3.5 10m 3.7; 20ms 3.5; 10ms_1 3.3;,TT6 10ms 3.7; 20ms 3.5; 10ms_1 3.3,TT68 10ms 3.5; 10ms_1 3.3; 20ms 3.1,TT68 10ms 3.3;  20ms 3.3; 10ms_1 3.5,TT6. 10ms 3.3; 20ms 3.1 10ms_1 3.5,TT6 10ms 3.2;,TT6 10ms 3.5; 20ms 3.3,TT6 10ms 3.4; 20ms 3.5; 10ms 3.8,TT267 10ms 3.3; 10ms_1 4.0; 20ms 3.7,change ref to 10. TT7 10ms 3.5;
Advance,,,,,,,0.000,0.000,0.075,0.000,0.000,0.000,0.000,0.000,0.000,,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.038,0.038,0.038,0.000,0.000,0.038,0.038,0.000,0.075,0.075,0.075,0.019,0.000,0.038,0.025,0.050,0.038,0.038,0.038,0.038,0.038,0.075,0.000,0.075,0.038,0.190,0.000,0.019,0.000,0.000,0.038,0.075,0.075,0.038,0.075,0.038,0.075,0.038,0.038,0.000,0.038,0.075,0.038,0.000,0.038,0.038,0.075,0.075,0.038,0.038,0.038,0.000
Position,,,,,,2.700,2.700,2.700,2.700,2.775,2.775,2.775,2.775,2.775,2.775,2.775,2.775,2.775,2.775,2.775,2.775,2.775,2.775,2.775,2.775,2.775,2.775,2.775,2.775,2.775,2.775,2.775,2.775,2.775,2.775,2.775,2.775,2.775,2.813,2.850,2.888,2.888,2.888,2.926,2.964,2.964,3.039,3.114,3.189,3.208,3.208,3.245,3.270,3.320,3.358,3.395,3.433,3.470,3.508,3.583,3.583,3.658,3.695,3.885,3.885,3.904,3.904,3.904,3.942,4.017,4.092,4.129,4.204,4.242,4.317,4.354,4.392,4.392,4.429,4.504,4.542,4.542,4.579,4.617,4.692,4.767,4.805,4.843,4.881
Pupil Video,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,frame dropped,,eye blurry.,,,eye blurry,pupil dropped at the beginning,,,,eye blurr,,,good position,,,,,,,,,,,,,,,,,eye blurry,,,,,,,,,,,recorded to 347 trial,,,,,,,,,
Weight,30.8,28.2,27.7,26.8,26.7,25.6,25.2,25.6,25.1,25.5,25.6,25.5,25.5,25.4,25.3,25.2,25.2,26.1,25.7,25,25.4,25.7,25.2,25.2,25.7,25.6,25.3,25.4,25.5,25.3,25.4,25.4,25,25.1,24.9,25.6,25.2,25.3,25.2,25.25,25.3,25.2,25.2,25.3,25.4,25.2,25.1,25.55,25.25,25.1,25.2,25.4,25.4,25.05,25.3,25.4,25.4,25.4,25.4,25.3,25,25.1,24.9,25.2,24.6,24.8,24.3,23.9,24,23.95,23.75,23.9,23.8,24.1,24.5,23.5,24.8,24.6,24.1,24.1,24.4,24.1,24.05,23.95,23.9,23.75,23.93,23.8,23.85
Water received,,,,,,,,1.1,1.5,1.1,0.36,0.3,0.484,0.496,0.35,,0.48,,0.416,0.616,0.8,0.532,0.584,0.46,0.288,0.396,0.561,0.543,0.535,0.6,0.435,0.342,0.61,0.365,0.6,0.505,0.475,0.36,0.38,0.6,0.585,0.395,0.505,0.5,0.55,0.64,0.45,0.41,0.72,0.55,0.55,0.31,0.365,0.48,0.455,0.455,0.465,0.465,0.46,0.38,0.565,0.41,0.45,0.28,0.465,0.36,0.43,0.645,0.6,0.64,0.62,0.52,0.5,0.37,0.625,0.615,0.465,0.445,0.675,0.56,0.43,0.6,0.515,0.58,0.595,0.645,0.4,0.57,0.552
Water given,,1,1,1,0.5,1.4,1.6,0,0.4,0.3,0.74,0.8,0.3,0.2,0.546,1.196,0.916,0.3,0,0.9,0.316,0,0.648,0.972,0.344,0.136,0.371,0.289,0.097,0.332,0.397,0,0.332,0.577,0.842,0,0.43,0.345,0.425,0.105,0,0.29,0.18,0,0,0.21,0.7,0,0,0.52,0.52,0.46,0.305,0.79,0.565,0.365,0.255,0.155,0.06,0,0.215,0.27,0.63,0.1,0.715,0,0,0.185,0,0,0,0,0.22,0,0,1.41,0,0,0.07,0,0,0,0,0,0.035,0.285,0.32,0.38,0.398
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,    ,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7:26:17 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,